NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"INTERLACHEN 10.4 NNE, FL US",29.75871,-81.83854,10/7/2016,,,matthew
"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183,10/7/2016,,,matthew
"SEBRING 23 SSE, FL US",27.1526,-81.3689,10/7/2016,,,matthew
"FLEMING ISLAND 2.2 S, FL US",30.06164,-81.71337,10/7/2016,,,matthew
"ORANGE PARK 2.5 WSW, FL US",30.15172,-81.742435,10/7/2016,,,matthew
"KEYSTONE HEIGHTS 10.0 NE, FL US",29.8641589,-81.8978604,10/7/2016,,,matthew
"ABERDEEN 3.7 WNW, FL US",26.575478,-80.202553,10/7/2016,,,matthew
"TITUSVILLE 7 E, FL US",28.6159,-80.6929,10/7/2016,,,matthew
"APOPKA 2.9 E, FL US",28.6848,-81.4659,10/7/2016,,,matthew
"ST. AUGUSTINE 12.2 WNW, FL US",29.944067,-81.5061,10/7/2016,,,matthew
"ROYAL PALM BEACH 5.0 W, FL US",26.714038,-80.30703,10/7/2016,,,matthew
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,10/7/2016,26.4,45.0,matthew
"PAHOKEE 1.6 NE, FL US",26.8374,-80.6471,10/7/2016,,,matthew
"LANTANA 0.3 E, FL US",26.58380249,-80.05063148,10/7/2016,,,matthew
"BOCA RATON 5.1 W, FL US",26.3585,-80.188,10/7/2016,,,matthew
