City,HurricaneName,SizeRank,before,after,percent,increase
North Palm Beach,charley,3397,216681.6509,262505.8155,21.14815186688243,0
Carol City,charley,3402,183990.473,222100.9057,20.713264159063282,0
Callahan,charley,3452,139269.3213,157721.7168,13.249433060890478,0
Dover,charley,3509,176690.615,207086.8965,17.203110363275385,0
Beverly Hills,charley,3519,101829.0488,119025.9521,16.88801329547526,0
Pinecrest,charley,3524,664150.9207,782201.62,17.77467976338529,0
Polk City,charley,3532,97509.30496,112010.2072,14.871300996298285,0
Nokomis,charley,3572,259913.896,320314.6119,23.238740532749354,1
Hernando,charley,3573,152477.3347,174763.8144,14.616257389236747,0
Crystal River,charley,3603,121483.7327,142315.5349,17.147812087272165,0
Gibsonton,charley,3626,148391.8438,173394.3044,16.848945305712274,0
Ojus,charley,3643,97301.33447,120801.3712,24.151813392904224,1
Starke,charley,3651,94262.83439,113122.8344,20.007885538397083,0
Brownsville,charley,3676,86314.42897,104003.2645,20.49348613097824,0
Alachua,charley,3779,145034.9233,166749.3535,14.971863125051899,0
Satellite Beach,charley,3855,222233.232,298663.9968,34.39214023580418,1
Pinewood,charley,3863,113060.3595,141119.7303,24.81804491343404,1
Lake Butler,charley,3974,98630.43261,116441.2063,18.058091421363383,0
Opa-locka,charley,4119,72654.26874,88955.55583,22.4367919087255,0
West Park,charley,4161,119453.5987,149069.3283,24.792664199575924,1
Fruitland Park,charley,4177,112759.2424,129225.6452,14.603151324471824,0
Lady Lake,charley,4208,123741.2827,142432.3996,15.104996887186791,0
Key Biscayne,charley,4217,686151.1315,814228.7719,18.666097674430496,0
Safety Harbor,charley,4218,186398.6953,216355.8649,16.071555410720727,0
Sorrento,charley,4244,184014.9337,213949.8433,16.267652303047843,0
Gladeview,charley,4296,74863.61036,93628.55794,25.065512456271005,1
Miami Springs,charley,4319,304412.9535,379728.7564,24.741326554620485,1
Thonotosassa,charley,4364,146996.3897,175358.1696,19.294201686097598,0
Mims,charley,4410,147587.6801,183257.4197,24.168507544689025,1
Holly Hill,charley,4411,91036.81691,112143.9664,23.18528943171066,1
Santa Rosa Beach,charley,4452,253664.9834,328068.6981,29.331488210445677,1
Westview,charley,4467,122918.5537,150536.3893,22.46840266881533,0
South Daytona,charley,4502,116299.1804,140543.4595,20.84647459819932,0
Sweetwater,charley,4571,150674.0821,181649.8677,20.55813791481528,0
Keystone Heights,charley,4573,93378.52461,111123.6383,19.003420501783847,0
Williston,charley,4620,103550.6594,117395.2263,13.369849096296523,0
Conway,charley,4631,183835.7693,212917.9581,15.81965735544153,0
Wauchula,charley,4645,84135.70612,100174.769,19.063324740062214,0
Southwest Ranches,charley,4647,451136.7843,550098.9159,21.936169925392633,0
Lecanto,charley,4687,162114.4954,184968.8393,14.097656007631738,0
Ellenton,charley,4690,194603.1815,230201.7826,18.292918350874956,0
Newberry,charley,4785,147462.9652,169705.6048,15.083542888095941,0
Frostproof,charley,4797,67100.64772,71972.15366,7.259998383812924,0
Bushnell,charley,4816,95033.98261,107307.5436,12.914918067117295,0
Florida City,charley,4873,62688.52126,83587.53658,33.33786616743047,1
Gulfport,charley,4887,114816.7979,143441.3051,24.930591798014245,1
Marco Island,charley,4962,406272.0827,524953.1107,29.21220360780648,1
South Miami,charley,5035,292816.6682,355385.3754,21.36787758177217,0
Doctor Phillips,charley,5084,257449.6697,300620.3154,16.768576844672495,0
Trenton,charley,5123,95779.01603,116125.1052,21.242741900404557,0
Wilton Manors,charley,5144,190853.7985,235990.5227,23.64989565560048,1
Callaway,charley,5168,111618.0972,136658.4854,22.43398591102304,0
High Springs,charley,5170,123934.2148,146887.3789,18.520441781989657,0
Cocoa Beach,charley,5222,233363.9249,304329.4563,30.409812240863626,1
Pine Castle,charley,5277,140760.1195,160793.0518,14.231965965331527,0
Westwood Lake,charley,5287,274219.1794,336189.0891,22.598678121491,0
Webster,charley,5294,112395.839,134195.3667,19.39531560416574,0
Old Town,charley,5310,55529.91621,69787.35636,25.67524160505122,1
Lighthouse Point,charley,5323,314099.6982,387386.3092,23.332276796183194,1
Indiantown,charley,5355,89836.1113,117063.3096,30.307632316226478,1
Tequesta,charley,5378,228887.4733,275777.1261,20.485897338096038,0
Westgate-Belvedere Homes,charley,5429,94136.07743,118855.807,26.259570448303087,1
Atlantic Beach,charley,5474,258267.7203,306899.7367,18.830079246260347,0
Lake Alfred,charley,5477,97569.33298,111737.1775,14.520796737335651,0
Madison,charley,5482,68734.63099,82838.31709,20.51903952470756,0
Archer,charley,5490,130685.1633,148401.2781,13.556332144094277,0
Jasper,charley,5595,72561.17102,88205.87462,21.560709922511954,0
Bunnell,charley,5642,108494.7283,136874.1965,26.157462804577563,1
Umatilla,charley,5681,96023.34706,109973.8925,14.52828490896389,0
Alva,charley,5688,134303.5455,169994.6803,26.57497586316513,1
Fort Meade,charley,5720,70651.20548,72125.66498,2.0869558983213503,0
Wewahitchka,charley,5734,63995.41185,79977.45373,24.97373080035893,1
Floral City,charley,5880,85966.98473,102801.0276,19.58198594829325,0
Rotonda West,charley,5935,167003.5933,206293.8386,23.526586777938498,1
