City,HurricaneName,SizeRank,before,after,percent,increase
Wewahitchka,charley,5734,20452.69845,26123.01698,27.724060685009515,1
Floral City,charley,5880,41753.78189,50901.49911,21.90871534487483,0
Rotonda West,charley,5935,104572.374,128347.7485,22.735808312049993,0
Saint Pete Beach,charley,5956,143976.9781,176788.2455,22.789245775953663,0
Lake Park,charley,5968,82520.13663,104362.3436,26.468941838929673,1
Melbourne Beach,charley,5982,133641.2755,173075.7837,29.5077310901601,1
Hilliard,charley,6022,47130.8271,54003.57951,14.582286865914137,0
Indian Harbour Beach,charley,6133,121907.8007,161156.7632,32.195611990890406,1
Bithlo,charley,6151,141827.7939,165030.2999,16.3596325952582,0
Cape Canaveral,charley,6245,77853.96115,103262.4075,32.63603543697147,1
Belle Isle,charley,6256,137062.7276,160458.355,17.069284852025664,0
Palm Beach,charley,6349,114117.034,142240.7723,24.64464533839883,1
North Bay Village,charley,6480,94416.69338,116955.387,23.871513408426893,1
Broadview Park,charley,6563,70220.17745,87103.92402,24.044010116639207,1
Youngstown,charley,6588,45713.63467,49298.08008,7.841086003936428,0
Bell,charley,6600,31277.27449,38742.2614,23.867127272827805,1
Bowling Green,charley,6757,27290.0612,32988.68792,20.88169270943224,0
Myakka City,charley,6769,110235.6186,133840.6532,21.413255443009778,0
Springfield,charley,6853,25784.7813,32604.6021,26.449015489613643,1
Sky Lake,charley,6858,48354.83899,56005.34136,15.821585863582674,0
West Miami,charley,6945,192636.033,243660.8152,26.487662461363094,1
Wedgefield,charley,7096,151492.0992,178882.9363,18.0807033796783,0
Lawtey,charley,7133,31037.87455,37378.77469,20.429556572197686,0
Melrose,charley,7155,40423.45577,46582.24789,15.23568928654216,0
Port Saint Joe,charley,7199,66190.3075,85920.08605,29.807655070948268,1
Pembroke Park,charley,7250,63390.25319,70324.57068,10.939091013275696,0
Flagler Beach,charley,7317,113452.5594,146639.7252,29.25202038236256,1
Treasure Island,charley,7390,127793.7531,158909.7151,24.348578271780955,1
Osprey,charley,7392,166846.1319,204084.8614,22.319204572461523,0
De Leon Springs,charley,7399,60652.51657,70650.52612,16.484080324121653,0
Moore Haven,charley,7404,22714.32302,28793.71126,26.764558356624097,1
Mayo,charley,7407,33581.71617,40824.50936,21.567668410199648,0
Century Village,charley,7413,21743.72932,29968.97935,37.82814764178642,1
Freeport,charley,7417,72599.07048,94982.36475,30.83137858654303,1
Jay,charley,7524,15521.63521,15678.61564,1.0113652838514275,0
Lauderdale-by-the-Sea,charley,7661,147351.2808,180772.0447,22.681013506331187,0
Norland,charley,7843,33126.21845,42229.58687,27.480856089083716,1
Siesta Key,charley,7855,223237.0261,268380.9931,20.22243701624013,0
Miramar Beach,charley,7864,134738.7692,165749.9552,23.01578542250777,0
Fort Myers Beach,charley,7964,201162.1056,235053.4147,16.84776016780766,0
Micco,charley,8017,47412.68116,64520.63229,36.08307041794808,1
Neptune Beach,charley,8049,162205.7817,196360.951,21.056690422521488,0
Gotha,charley,8086,132337.9798,155735.1721,17.679877186700107,0
Lake Helen,charley,8096,49398.96714,62027.0637,25.563482985810452,1
Surfside,charley,8183,180111.3467,221190.0505,22.807393622136534,0
Geneva,charley,8206,98506.16963,110013.6867,11.682026733171638,0
Ponce Inlet,charley,8256,151998.0142,185338.9588,21.935118544463187,0
Pahokee,charley,8291,22723.21485,28947.50083,27.3917490156548,1
Palm Springs North,charley,8322,203808.7225,255715.7659,25.46850927835044,1
