NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,10/7/2016,,
"DESOTO CITY, FL US",27.3697,-81.5136,10/7/2016,,
"DADE CITY 4.6 SSE, FL US",28.2968,-82.1773,10/7/2016,,
"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962,10/7/2016,,
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,10/7/2016,,
"GAINESVILLE 6.5 NW, FL US",29.737964,-82.416213,10/7/2016,,
"LAKE PLACID 1.1 WSW, FL US",27.2877,-81.3853,10/7/2016,,
"LAKE PLACID 9.4 SE, FL US",27.2054,-81.2574,10/7/2016,,
"AVON PARK 0.8 E, FL US",27.59295,-81.490069,10/7/2016,,
"GONZALEZ 2.5 NNW, FL US",30.60403,-87.31218,10/7/2016,,
"HOLIDAY 0.6 E, FL US",28.187464,-82.73213,10/7/2016,,
"LAND O LAKES 1.8 SE, FL US",28.20266,-82.43405,10/7/2016,,
"BUSHNELL 1 E, FL US",28.66641,-82.08947,10/7/2016,,
"SEBASTIAN 1.7 SSE, FL US",27.763426,-80.474196,10/7/2016,,
"VERO BEACH 3.4 W, FL US",27.642899,-80.44938,10/7/2016,,
"GAINESVILLE 1.7 SE, FL US",29.65547,-82.31708,10/7/2016,,
"MAYO, FL US",30.1063,-83.1819,10/7/2016,,
"VERO BEACH 3.5 SSW, FL US",27.59959,-80.416643,10/7/2016,,
"VERO BEACH 6.0 SSE, FL US",27.5598,-80.388936,10/7/2016,,
"SYLVAN SHORES 8.5 NE, FL US",27.405027,-81.246061,10/7/2016,,
"SEBRING 4.7 WNW, FL US",27.515983,-81.525033,10/7/2016,,
"GAINESVILLE 3.4 S, FL US",29.62616667,-82.32583333,10/7/2016,,
"AVON PARK 0.6 NW, FL US",27.60047,-81.509323,10/7/2016,,
"GONZALEZ 2.1 E, FL US",30.568513,-87.254739,10/7/2016,,
"LADY LAKE 5.0 W, FL US",28.92495,-82.0119,10/7/2016,,
"SEBRING 3.5 S, FL US",27.440696,-81.460344,10/7/2016,,
"LAND O LAKES 1.5 SSE, FL US",28.202699,-82.440046,10/7/2016,,
"VENICE 2.4 SSE, FL US",27.06392,-82.42131,10/7/2016,,
"ENGLEWOOD 2.5 WNW, FL US",26.973919,-82.39214,10/7/2016,,
"CAPE FLORIDA, FL US",25.6719,-80.1566,10/7/2016,,
"ORANGE PARK 4.8 SSW, FL US",30.1044,-81.736,10/7/2016,,
"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,10/7/2016,,
"ORANGE PARK 3.0 WNW, FL US",30.180204,-81.752572,10/7/2016,,
"KEYSTONE HEIGHTS 3.5 ENE, FL US",29.798056,-81.978811,10/7/2016,,
"LAKESIDE 2.9 S, FL US",30.088475,-81.759942,10/7/2016,,
"KEYSTONE HEIGHTS 6.9 ENE, FL US",29.81717,-81.92745,10/7/2016,,
"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,10/7/2016,,
"CHIPLEY, FL US",30.7806,-85.5503,10/7/2016,,
"ARCADIA, FL US",27.21785,-81.8742,10/7/2016,,
"ORANGE PARK 0.7 NNE, FL US",30.177842,-81.698154,10/7/2016,,
"KEYSTONE HEIGHTS 9.1 NE, FL US",29.86772,-81.920039,10/7/2016,,
"ENGLEWOOD 2.0 NNW, FL US",26.986543,-82.365365,10/7/2016,,
"EVERGLADES, FL US",25.8489,-81.3896,10/7/2016,,
"LAKELAND 2, FL US",27.99437,-82.01378,10/7/2016,,
"NORTH PORT 4.7 NNE, FL US",27.113171,-82.165734,10/7/2016,,
"LAKE SARASOTA 4.0 ESE, FL US",27.26147,-82.38336,10/7/2016,,
"SARASOTA 5.8 SE, FL US",27.261,-82.4885,10/7/2016,,
"SARASOTA 1.4 E, FL US",27.34013939,-82.52347565,10/7/2016,,
"ENGLEWOOD 3.7 NNW, FL US",27.003679,-82.386879,10/7/2016,,
"PACE 2.4 N, FL US",30.633971,-87.15933,10/7/2016,,
"MIDDLEBURG 3.8 NW, FL US",30.086134,-81.949961,10/7/2016,,
"VENICE 4.8 SSE, FL US",27.031473,-82.412121,10/7/2016,,
"MIAMI BEACH, FL US",25.8063,-80.1334,10/7/2016,,
"KISSIMMEE 2, FL US",28.2763,-81.424,10/7/2016,,
"NORTH PORT 2.6 E, FL US",27.054479,-82.152672,10/7/2016,,
"POMPANO BEACH AIRPARK, FL US",26.24636,-80.11105,10/7/2016,16.11,30
