City,HurricaneName,SizeRank,before,after,percent,increase
Apollo Beach,charley,2851,336691.7766,414804.3022,23.20000992860602,1
The Crossings,charley,2855,347282.9022,415506.3672,19.64492480563011,0
Debary,charley,2870,288548.5794,338632.6614,17.35724435176339,0
West Melbourne,charley,2904,265301.7406,346168.9941,30.481237445752356,1
Pace,charley,2913,235681.3915,272193.566,15.492175376094549,0
Palm River-Clair Mel,charley,2931,203901.0832,228726.8657,12.175404912218731,0
Labelle,charley,2980,148031.7854,181879.8126,22.865377937946572,1
Gulf Breeze,charley,2997,369871.5611,454707.2153,22.93651719199451,1
Dade City,charley,3053,156928.4448,183911.3431,17.194396041067503,0
Maitland,charley,3078,398893.745,455932.9843,14.299356662010334,0
Yulee,charley,3096,219397.8984,247539.0962,12.826557594774112,0
Palm Springs,charley,3105,160730.3904,195332.004,21.52773567829272,0
Oldsmar,charley,3126,335295.0136,386948.653,15.405430234528241,0
Hobe Sound,charley,3143,371631.6992,456222.905,22.762107210471257,1
Jacksonville Beach,charley,3158,445127.2021,521865.0782,17.239538661751,0
Jensen Beach,charley,3210,306781.8678,382379.5859,24.642172838351822,1
Clewiston,charley,3236,135877.7805,163130.9638,20.057130164854296,0
Sunny Isles Beach,charley,3322,966256.837,1185873.725,22.728624480615192,1
Belle Glade,charley,3371,158737.4021,176782.9652,11.36818598595422,0
North Palm Beach,charley,3397,667954.7478,806888.2522,20.799837841949085,0
Carol City,charley,3402,265683.2474,315508.3747,18.75358261674123,0
Callahan,charley,3452,220120.1337,250796.1998,13.936056454430545,0
Dover,charley,3509,271385.7313,316484.8841,16.618100216236403,0
Beverly Hills,charley,3519,213862.3219,246771.646,15.388088845022493,0
Pinecrest,charley,3524,1424951.823,1658472.173,16.38794703306961,0
Polk City,charley,3532,165101.1229,190052.4289,15.112741549984948,0
Nokomis,charley,3572,454590.6621,554498.0548,21.97744059204247,1
Hernando,charley,3573,270044.0577,306356.5126,13.446863156063445,0
Glenvar Heights,charley,3593,512053.559,630068.9682,23.04747367257338,1
Crystal River,charley,3603,232004.2908,271966.1351,17.22461432165893,0
Gibsonton,charley,3626,215999.048,252116.0573,16.720911334757353,0
Ojus,charley,3643,407931.3191,515261.7717,26.31091254204217,1
Starke,charley,3651,187735.0242,225146.0504,19.92756884839179,0
Brownsville,charley,3676,163262.6339,190686.3162,16.79728033592628,0
Alachua,charley,3779,247315.1066,279933.1401,13.188856090685736,0
Satellite Beach,charley,3855,378656.0018,491882.0195,29.902079238613023,1
Pinewood,charley,3863,204369.3395,249192.8911,21.932620475098226,1
Lake Butler,charley,3974,220258.9432,247212.4417,12.23718688031914,0
Opa-locka,charley,4119,163752.0768,194909.3204,19.027083020176992,0
West Park,charley,4161,223213.8141,270791.1564,21.314694384768362,0
Fruitland Park,charley,4177,193904.9869,221643.6355,14.30527860240402,0
Lady Lake,charley,4208,268861.0207,305832.5354,13.751162070181042,0
Key Biscayne,charley,4217,1858380.541,2183162.669,17.47662122125074,0
Safety Harbor,charley,4218,356050.788,412394.4295,15.824608005080451,0
Sorrento,charley,4244,297201.6266,343488.1054,15.574100091415847,0
Gladeview,charley,4296,140269.8394,171389.1544,22.185321615189647,1
Miami Springs,charley,4319,452790.6635,556202.8197,22.83884464415419,1
Thonotosassa,charley,4364,277807.7509,324066.8143,16.651466076859574,0
Mims,charley,4410,270398.724,326463.2318,20.7340134489688,0
Holly Hill,charley,4411,182336.4467,224531.4497,23.141288405945446,1
Santa Rosa Beach,charley,4452,640795.7969,791782.4832,23.562371512178075,1
Westview,charley,4467,234334.5589,277236.532,18.308000877628984,0
South Daytona,charley,4502,198269.1843,236402.7025,19.23320476383279,0
Sweetwater,charley,4571,242058.5268,292396.4896,20.79578169191765,0
Keystone Heights,charley,4573,160388.2461,186346.7307,16.184779889553262,0
Williston,charley,4620,204092.9766,233899.1982,14.6042368025319,0
Conway,charley,4631,275234.9566,320427.4138,16.419592103512628,0
Wauchula,charley,4645,165829.0502,198348.1966,19.610042004570317,0
Southwest Ranches,charley,4647,895002.713,1062378.903,18.701193590683555,0
Lecanto,charley,4687,272692.92,305982.6603,12.207775801439952,0
